Estados,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,6,1,6,0,5,0,12,0,11,1,1,0,0,4,0,0,0,2,0,0,10,0,6,6,0,3,0,0,19,6,40,1,2,13,6,20,19,20,29,12,23,3,3,0,8,3,27,23,30,17,9,35,-1,30,5,40,46,27,23,5,2,34,27,40,53,28,19,0
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,3,2,0,1,5,1,0,3,4,8,2,3,12,2,15,42,25,89,14,19,20,57,33,44,52,41,31,74,70,61,174,77,91,81,42,80,30,94,106,61,9,12,78,150,190,110,78,100,88,62,17,129,193,92,191,129,89,82,155,118,180,176,157,120,30,172,175,186,108,153,48
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,2,0,2,2,4,1,1,2,6,1,26,2,12,0,17,17,18,33,11,1,1,3,4,20,12,23,12,1,6,19,19,1,7,9,7,14,8,8,5,7,7,9,5,5,8,11,3,8,10,19,5,14,3,7,6,17,2,16,11,9,8,8,10,26,12,24
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,2,0,1,5,0,0,1,3,1,10,4,10,2,2,9,1,6,4,3,0,13,4,7,9,11,7,8,11,10,11,8,3,30,17,11,20,12,19,0,20,30,35,8,11,8,14,10,26,26,31,26,14,9,34,38,14,29,20
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,1,1,1,17,7,5,13,5,8,2,10,20,7,13,7,14,13,1,19,18,1,19,3,15,5,17,12,13,11,22,24,8,10,10,1,38,14,20,13,23,13,3,12,36,16,10,11,12,32,9,18,26,12,2,25,46,23,40,2,8,52,41,48,14,37,69,0
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,0,3,0,1,0,1,2,5,2,0,1,1,1,0,0,1,0,4,3,0,3,1,1,0,9,4,5,8,5,2,4,8,6,3,13,3,3,11,7,1,4,9
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,-1,4,1,2,1,1,3,1,6,1,2,4,2,4,1,4,0,2,3,6,4,4,5,1,7,8,12,5,14,4,10,9,24,12,14,23,12,5,10,22,25,36,35,27,24,13,17,52,32,69,48,32,45,70,81,77,79,112,59,62,108,65,96,143,155
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,4,0,1,1,2,7,0,7,13,12,0,7,6,2,14,25,7,16,17,4,3,21,18,19,28,18,13,43,11,26,49,52,60,20,48,19,17,15,25,16,19,38,37,31,75,25,19,1,41,54,82,28,49,16,6,86,78,44,103,63,48
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,6,6,1,3,0,3,7,0,14,11,4,6,16,1,24,70,19,9,29,62,31,57,85,91,49,114,132,54,131,77,211,109,119,130,142,252,219,292,119,147,430,398,433,313,229,227,374,365,487,378,544,451,430,242,656,719,743,635,688,306,667,523,843,940,731,689,1087,894,714,1083,1106,1493,943,668,885,966,1182,1078,808,898
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,3,0,1,0,0,0,0,-1,1,1,2,0,2,1,8,3,6,2,2,2,1,11,2,8,2,2,3,5,0,11,5,10,2,6,1,8,5,17,6,5,2,12,7,9,5,18,6,16,11,2,29,25,16,41,19
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,5,7,4,8,6,0,6,3,3,1,2,1,0,5,3,6,4,7,3,1,6,2,1,5,17,3,17,17,8,15,9,10,6,8,9,4,19,24,21,7,18,6,14,14,48,25,30,28,31,43,39,39,40,27,47,26,39,26,76,50,79,29,74,58,52,82,66,83,171
