Estados,Fechas,Confirmados,Defunciones
Aguascalientes,2020-01-23,0,0
Aguascalientes,2020-01-24,0,0
Aguascalientes,2020-01-25,0,0
Aguascalientes,2020-01-26,0,0
Aguascalientes,2020-01-27,0,0
Aguascalientes,2020-01-28,0,0
Aguascalientes,2020-01-29,0,0
Aguascalientes,2020-01-30,0,0
Aguascalientes,2020-01-31,0,0
Aguascalientes,2020-02-01,0,0
Aguascalientes,2020-02-02,0,0
Aguascalientes,2020-02-03,0,0
Aguascalientes,2020-02-04,0,0
Aguascalientes,2020-02-05,0,0
Aguascalientes,2020-02-06,0,0
Aguascalientes,2020-02-07,0,0
Aguascalientes,2020-02-08,0,0
Aguascalientes,2020-02-09,0,0
Aguascalientes,2020-02-10,0,0
Aguascalientes,2020-02-11,0,0
Aguascalientes,2020-02-12,0,0
Aguascalientes,2020-02-13,0,0
Aguascalientes,2020-02-14,0,0
Aguascalientes,2020-02-15,0,0
Aguascalientes,2020-02-16,0,0
Aguascalientes,2020-02-17,0,0
Aguascalientes,2020-02-18,0,0
Aguascalientes,2020-02-19,0,0
Aguascalientes,2020-02-20,0,0
Aguascalientes,2020-02-21,0,0
Aguascalientes,2020-02-22,0,0
Aguascalientes,2020-02-23,0,0
Aguascalientes,2020-02-24,0,0
Aguascalientes,2020-02-25,0,0
Aguascalientes,2020-02-26,0,0
Aguascalientes,2020-02-27,0,0
Aguascalientes,2020-02-28,0,0
Aguascalientes,2020-02-29,0,0
Aguascalientes,2020-03-01,0,0
Aguascalientes,2020-03-02,0,0
Aguascalientes,2020-03-03,0,0
Aguascalientes,2020-03-04,0,0
Aguascalientes,2020-03-05,0,0
Aguascalientes,2020-03-06,0,0
Aguascalientes,2020-03-07,0,0
Aguascalientes,2020-03-08,0,0
Aguascalientes,2020-03-09,0,0
Aguascalientes,2020-03-10,0,0
Aguascalientes,2020-03-11,0,0
Aguascalientes,2020-03-12,0,0
Aguascalientes,2020-03-13,0,0
Aguascalientes,2020-03-14,0,0
Aguascalientes,2020-03-15,1,0
Aguascalientes,2020-03-16,1,0
Aguascalientes,2020-03-17,1,0
Aguascalientes,2020-03-18,1,0
Aguascalientes,2020-03-19,4,0
Aguascalientes,2020-03-20,4,0
Aguascalientes,2020-03-21,4,0
Aguascalientes,2020-03-22,4,0
Aguascalientes,2020-03-23,6,0
Aguascalientes,2020-03-24,6,0
Aguascalientes,2020-03-25,12,0
Aguascalientes,2020-03-26,13,0
Aguascalientes,2020-03-27,19,0
Aguascalientes,2020-03-28,19,0
Aguascalientes,2020-03-29,24,0
Aguascalientes,2020-03-30,24,0
Aguascalientes,2020-03-31,36,0
Aguascalientes,2020-04-01,36,0
Aguascalientes,2020-04-02,47,0
Aguascalientes,2020-04-03,48,0
Aguascalientes,2020-04-04,49,0
Aguascalientes,2020-04-05,49,0
Aguascalientes,2020-04-06,49,0
Aguascalientes,2020-04-07,53,0
Aguascalientes,2020-04-08,53,0
Aguascalientes,2020-04-09,53,0
Aguascalientes,2020-04-10,53,0
Aguascalientes,2020-04-11,55,1
Aguascalientes,2020-04-12,55,1
Aguascalientes,2020-04-13,55,1
Aguascalientes,2020-04-14,65,1
Aguascalientes,2020-04-15,65,1
Aguascalientes,2020-04-16,71,2
Baja California,2020-01-23,0,0
Baja California,2020-01-24,0,0
Baja California,2020-01-25,0,0
Baja California,2020-01-26,0,0
Baja California,2020-01-27,0,0
Baja California,2020-01-28,0,0
Baja California,2020-01-29,0,0
Baja California,2020-01-30,0,0
Baja California,2020-01-31,0,0
Baja California,2020-02-01,0,0
Baja California,2020-02-02,0,0
Baja California,2020-02-03,0,0
Baja California,2020-02-04,0,0
Baja California,2020-02-05,0,0
Baja California,2020-02-06,0,0
Baja California,2020-02-07,0,0
Baja California,2020-02-08,0,0
Baja California,2020-02-09,0,0
Baja California,2020-02-10,0,0
Baja California,2020-02-11,0,0
Baja California,2020-02-12,0,0
Baja California,2020-02-13,0,0
Baja California,2020-02-14,0,0
Baja California,2020-02-15,0,0
Baja California,2020-02-16,0,0
Baja California,2020-02-17,0,0
Baja California,2020-02-18,0,0
Baja California,2020-02-19,0,0
Baja California,2020-02-20,0,0
Baja California,2020-02-21,0,0
Baja California,2020-02-22,0,0
Baja California,2020-02-23,0,0
Baja California,2020-02-24,0,0
Baja California,2020-02-25,0,0
Baja California,2020-02-26,0,0
Baja California,2020-02-27,0,0
Baja California,2020-02-28,0,0
Baja California,2020-02-29,0,0
Baja California,2020-03-01,0,0
Baja California,2020-03-02,0,0
Baja California,2020-03-03,0,0
Baja California,2020-03-04,0,0
Baja California,2020-03-05,0,0
Baja California,2020-03-06,0,0
Baja California,2020-03-07,0,0
Baja California,2020-03-08,0,0
Baja California,2020-03-09,0,0
Baja California,2020-03-10,0,0
Baja California,2020-03-11,0,0
Baja California,2020-03-12,0,0
Baja California,2020-03-13,0,0
Baja California,2020-03-14,0,0
Baja California,2020-03-15,0,0
Baja California,2020-03-16,0,0
Baja California,2020-03-17,0,0
Baja California,2020-03-18,2,0
Baja California,2020-03-19,2,0
Baja California,2020-03-20,4,0
Baja California,2020-03-21,8,0
Baja California,2020-03-22,11,0
Baja California,2020-03-23,13,0
Baja California,2020-03-24,13,0
Baja California,2020-03-25,14,0
Baja California,2020-03-26,19,0
Baja California,2020-03-27,20,0
Baja California,2020-03-28,20,0
Baja California,2020-03-29,23,0
Baja California,2020-03-30,27,0
Baja California,2020-03-31,35,0
Baja California,2020-04-01,37,0
Baja California,2020-04-02,40,3
Baja California,2020-04-03,52,5
Baja California,2020-04-04,54,5
Baja California,2020-04-05,69,6
Baja California,2020-04-06,111,7
Baja California,2020-04-07,136,7
Baja California,2020-04-08,225,15
Baja California,2020-04-09,239,16
Baja California,2020-04-10,258,17
Baja California,2020-04-11,278,20
Baja California,2020-04-12,335,22
Baja California,2020-04-13,368,25
Baja California,2020-04-14,412,28
Baja California,2020-04-15,464,28
Baja California,2020-04-16,505,31
Baja California Sur,2020-01-23,0,0
Baja California Sur,2020-01-24,0,0
Baja California Sur,2020-01-25,0,0
Baja California Sur,2020-01-26,0,0
Baja California Sur,2020-01-27,0,0
Baja California Sur,2020-01-28,0,0
Baja California Sur,2020-01-29,0,0
Baja California Sur,2020-01-30,0,0
Baja California Sur,2020-01-31,0,0
Baja California Sur,2020-02-01,0,0
Baja California Sur,2020-02-02,0,0
Baja California Sur,2020-02-03,0,0
Baja California Sur,2020-02-04,0,0
Baja California Sur,2020-02-05,0,0
Baja California Sur,2020-02-06,0,0
Baja California Sur,2020-02-07,0,0
Baja California Sur,2020-02-08,0,0
Baja California Sur,2020-02-09,0,0
Baja California Sur,2020-02-10,0,0
Baja California Sur,2020-02-11,0,0
Baja California Sur,2020-02-12,0,0
Baja California Sur,2020-02-13,0,0
Baja California Sur,2020-02-14,0,0
Baja California Sur,2020-02-15,0,0
Baja California Sur,2020-02-16,0,0
Baja California Sur,2020-02-17,0,0
Baja California Sur,2020-02-18,0,0
Baja California Sur,2020-02-19,0,0
Baja California Sur,2020-02-20,0,0
Baja California Sur,2020-02-21,0,0
Baja California Sur,2020-02-22,0,0
Baja California Sur,2020-02-23,0,0
Baja California Sur,2020-02-24,0,0
Baja California Sur,2020-02-25,0,0
Baja California Sur,2020-02-26,0,0
Baja California Sur,2020-02-27,0,0
Baja California Sur,2020-02-28,0,0
Baja California Sur,2020-02-29,0,0
Baja California Sur,2020-03-01,0,0
Baja California Sur,2020-03-02,0,0
Baja California Sur,2020-03-03,0,0
Baja California Sur,2020-03-04,0,0
Baja California Sur,2020-03-05,0,0
Baja California Sur,2020-03-06,0,0
Baja California Sur,2020-03-07,0,0
Baja California Sur,2020-03-08,0,0
Baja California Sur,2020-03-09,0,0
Baja California Sur,2020-03-10,0,0
Baja California Sur,2020-03-11,0,0
Baja California Sur,2020-03-12,0,0
Baja California Sur,2020-03-13,0,0
Baja California Sur,2020-03-14,0,0
Baja California Sur,2020-03-15,0,0
Baja California Sur,2020-03-16,0,0
Baja California Sur,2020-03-17,0,0
Baja California Sur,2020-03-18,0,0
Baja California Sur,2020-03-19,0,0
Baja California Sur,2020-03-20,0,0
Baja California Sur,2020-03-21,1,0
Baja California Sur,2020-03-22,1,0
Baja California Sur,2020-03-23,2,0
Baja California Sur,2020-03-24,2,0
Baja California Sur,2020-03-25,5,0
Baja California Sur,2020-03-26,7,0
Baja California Sur,2020-03-27,9,0
Baja California Sur,2020-03-28,9,0
Baja California Sur,2020-03-29,11,0
Baja California Sur,2020-03-30,13,0
Baja California Sur,2020-03-31,17,0
Baja California Sur,2020-04-01,18,2
Baja California Sur,2020-04-02,19,2
Baja California Sur,2020-04-03,21,2
Baja California Sur,2020-04-04,27,2
Baja California Sur,2020-04-05,28,2
