Estados,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31
Aguascalientes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.34,0.3,0.25,0.22,0.41,0.37,0.31,0.29,0.28,0.23,0.21,0.19,0.16,0.15,0.15,0.14,0.13,0.12,0.32,0.35,0.34,0.32,0.4,0.4,0.37,0.37,0.38,0.42,0.4,0.39,0.36,0.36,0.36,0.38,0.4,0.39,0.38,0.35,0.34,0.32,0.36,0.36,0.35,0.34,0.37,0.37,0.36,0.35,0.36,0.35
Baja California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.33,6.33,6.38,5.6,4.96,8.62,8.25,7.3,7.33,7.43,7.53,6.9,6.24,6.38,6.04,10.46,10.93,10.53,11.67,12.16,11.79,11.96,12.41,11.99,11.65,11.85,12.41,11.94,11.76,11.4,11.05,11.06,11.53,12.06,11.62,11.55,11.99,12.01,11.73,11.28,11.0,11.06,10.87,10.76,10.7,10.62,10.27,9.95,9.78,9.27,9.1,9.41,9.24,9.1,8.99,8.93,8.72,8.84,8.71
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,4.0,3.33,2.53,2.13,1.6,1.42,1.15,1.03,0.86,0.73,0.68,0.9,1.23,1.34,1.23,1.1,0.92,1.02,0.98,1.05,1.03,1.03,0.9,0.92,0.89,0.91,0.89,0.92,0.86,0.91,0.87,0.84,0.79,0.72,0.67,0.68,0.7,0.66,0.63,0.62,0.61,0.57,0.56,0.55,0.52,0.5,0.49,0.48,0.46,0.45,0.44,0.43,0.42,0.42,0.39,0.37,0.36,0.36,0.36,0.35
Campeche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.57,0.52,0.43,0.37,0.34,0.6,0.49,0.45,0.62,0.55,0.46,0.58,0.56,0.47,0.52,0.56,0.82,0.84,1.04,1.05,1.15,1.1,1.02,0.96,1.07,1.02,1.01,0.96,0.92,0.88,0.85,0.81,0.84,0.87,0.79,0.76,0.74,0.73,0.71,0.73,0.73,0.79,0.79,0.77,0.72,0.75,0.73,0.75,0.81,0.81,0.84,0.86,0.85,0.91
Coahuila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.57,3.45,5.41,4.0,5.0,5.06,4.26,4.0,3.55,4.02,3.61,3.0,4.03,3.72,3.61,2.96,2.67,3.09,2.75,2.77,2.62,2.53,2.68,2.78,2.71,2.62,2.53,2.44,2.37,2.42,2.31,2.21,2.13,1.99,1.95,2.03,1.91,1.78,1.69,1.61,1.55,1.53,1.48,1.35,1.26,1.21,1.13,1.09,1.1,1.09,1.04,0.97,0.95,0.92,0.89,0.88,0.89,0.82,0.84,0.81,0.8,0.79,0.82
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.31,0.29,0.28,0.23,0.21,0.19,0.16,0.15,0.15,0.14,0.13,0.17,0.16,0.15,0.15,0.19,0.18,0.2,0.22,0.2,0.19,0.18,0.17,0.17,0.18,0.17,0.16,0.15,0.16,0.15,0.17,0.18,0.16,0.18,0.2,0.2,0.19,0.24,0.23,0.24,0.23,0.22,0.21,0.21
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.37,1.01,0.9,0.74,0.67,0.62,0.55,0.46,0.44,0.42,0.47,0.41,0.47,0.49,0.46,0.44,0.42,0.38,0.4,0.38,0.35,0.44,0.42,0.48,0.48,0.44,0.41,0.54,0.57,0.55,0.56,0.64,0.73,0.78,0.82,0.87,0.85,0.83,0.79,0.87,0.98,0.96,0.95,0.93,0.94,1.03,1.17,1.26,1.33,1.34,1.36
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,5.15,4.4,4.05,3.92,3.94,4.45,4.73,4.76,4.77,4.66,4.49,4.2,4.02,3.93,3.77,4.37,4.29,4.11,4.33,4.04,4.09,4.21,4.32,4.27,4.1,4.43,4.33,3.95,3.99,4.03,3.9,3.95,3.72,3.58,3.6,3.84,3.81,3.71,3.62,3.57,3.42,3.44,3.51,3.43,3.37,3.34,3.34,3.33,3.24,3.24,3.21,3.2
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,50.0,50.0,60.0,50.0,37.5,41.67,43.75,35.0,28.57,27.59,21.62,26.0,25.0,21.52,20.21,23.2,22.7,22.41,22.16,19.74,17.95,18.92,19.28,22.66,22.05,22.63,24.91,27.38,26.68,26.4,26.14,25.88,25.07,24.32,23.52,22.87,22.87,22.18,22.46,22.0,21.2,21.88,21.91,21.98,21.66,22.34,23.51,23.07,23.08,22.97,22.92,23.87,25.05,25.08,25.11,25.49,25.73,25.9,25.63,26.57,26.94,26.53,26.45,26.55,26.52,26.63,26.9,26.84,26.94,26.8,26.77
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,25.0,20.0,16.67,12.5,8.33,6.25,5.0,3.57,3.45,2.7,2.0,1.67,2.53,3.19,3.2,2.84,2.3,2.06,1.72,1.47,1.35,1.2,0.74,0.89,0.82,0.73,0.62,0.58,0.56,0.47,0.52,0.47,0.41,0.46,0.44,0.42,0.38,0.35,0.38,0.35,0.34,0.32,0.31,0.32,0.3,0.37,0.35,0.33,0.35,0.34,0.33,0.33,0.31,0.31,0.32,0.31,0.32,0.32,0.33,0.35,0.37,0.36,0.35,0.34,0.33,0.37,0.36,0.36,0.38,0.37
