Estados,Fechas,Confirmados,Defunciones,Nuevos confirmados,Nuevas defunciones
Aguascalientes,2020-01-23,0,0,0,0
Aguascalientes,2020-01-24,0,0,0,0
Aguascalientes,2020-01-25,0,0,0,0
Aguascalientes,2020-01-26,0,0,0,0
Aguascalientes,2020-01-27,0,0,0,0
Aguascalientes,2020-01-28,0,0,0,0
Aguascalientes,2020-01-29,0,0,0,0
Aguascalientes,2020-01-30,0,0,0,0
Aguascalientes,2020-01-31,0,0,0,0
Aguascalientes,2020-02-01,0,0,0,0
Aguascalientes,2020-02-02,0,0,0,0
Aguascalientes,2020-02-03,0,0,0,0
Aguascalientes,2020-02-04,0,0,0,0
Aguascalientes,2020-02-05,0,0,0,0
Aguascalientes,2020-02-06,0,0,0,0
Aguascalientes,2020-02-07,0,0,0,0
Aguascalientes,2020-02-08,0,0,0,0
Aguascalientes,2020-02-09,0,0,0,0
Aguascalientes,2020-02-10,0,0,0,0
Aguascalientes,2020-02-11,0,0,0,0
Aguascalientes,2020-02-12,0,0,0,0
Aguascalientes,2020-02-13,0,0,0,0
Aguascalientes,2020-02-14,0,0,0,0
Aguascalientes,2020-02-15,0,0,0,0
Aguascalientes,2020-02-16,0,0,0,0
Aguascalientes,2020-02-17,0,0,0,0
Aguascalientes,2020-02-18,0,0,0,0
Aguascalientes,2020-02-19,0,0,0,0
Aguascalientes,2020-02-20,0,0,0,0
Aguascalientes,2020-02-21,0,0,0,0
Aguascalientes,2020-02-22,0,0,0,0
Aguascalientes,2020-02-23,0,0,0,0
Aguascalientes,2020-02-24,0,0,0,0
Aguascalientes,2020-02-25,0,0,0,0
Aguascalientes,2020-02-26,0,0,0,0
Aguascalientes,2020-02-27,0,0,0,0
Aguascalientes,2020-02-28,0,0,0,0
Aguascalientes,2020-02-29,0,0,0,0
Aguascalientes,2020-03-01,0,0,0,0
Aguascalientes,2020-03-02,0,0,0,0
Aguascalientes,2020-03-03,0,0,0,0
Aguascalientes,2020-03-04,0,0,0,0
Aguascalientes,2020-03-05,0,0,0,0
Aguascalientes,2020-03-06,0,0,0,0
Aguascalientes,2020-03-07,0,0,0,0
Aguascalientes,2020-03-08,0,0,0,0
Aguascalientes,2020-03-09,0,0,0,0
Aguascalientes,2020-03-10,0,0,0,0
Aguascalientes,2020-03-11,0,0,0,0
Aguascalientes,2020-03-12,0,0,0,0
Aguascalientes,2020-03-13,0,0,0,0
Aguascalientes,2020-03-14,0,0,0,0
Aguascalientes,2020-03-15,1,0,1,0
Aguascalientes,2020-03-16,1,0,0,0
Aguascalientes,2020-03-17,1,0,0,0
Aguascalientes,2020-03-18,1,0,0,0
Aguascalientes,2020-03-19,4,0,3,0
Aguascalientes,2020-03-20,4,0,0,0
Aguascalientes,2020-03-21,4,0,0,0
Aguascalientes,2020-03-22,4,0,0,0
Aguascalientes,2020-03-23,6,0,2,0
Aguascalientes,2020-03-24,6,0,0,0
Aguascalientes,2020-03-25,12,0,6,0
Aguascalientes,2020-03-26,13,0,1,0
Aguascalientes,2020-03-27,19,0,6,0
Aguascalientes,2020-03-28,19,0,0,0
Aguascalientes,2020-03-29,24,0,5,0
Aguascalientes,2020-03-30,24,0,0,0
Aguascalientes,2020-03-31,36,0,12,0
Aguascalientes,2020-04-01,36,0,0,0
Aguascalientes,2020-04-02,47,0,11,0
Aguascalientes,2020-04-03,48,0,1,0
Aguascalientes,2020-04-04,49,0,1,0
Aguascalientes,2020-04-05,49,0,0,0
Aguascalientes,2020-04-06,49,0,0,0
Aguascalientes,2020-04-07,53,0,4,0
Aguascalientes,2020-04-08,53,0,0,0
Aguascalientes,2020-04-09,53,0,0,0
Aguascalientes,2020-04-10,53,0,0,0
Aguascalientes,2020-04-11,55,1,2,1
Aguascalientes,2020-04-12,55,1,0,0
Aguascalientes,2020-04-13,55,1,0,0
Aguascalientes,2020-04-14,65,1,10,0
Aguascalientes,2020-04-15,65,1,0,0
Aguascalientes,2020-04-16,71,2,6,1
Aguascalientes,2020-04-17,77,2,6,0
Aguascalientes,2020-04-18,77,2,0,0
Aguascalientes,2020-04-19,80,2,3,0
Aguascalientes,2020-04-20,80,2,0,0
Aguascalientes,2020-04-21,80,2,0,0
Aguascalientes,2020-04-22,99,2,19,0
Aguascalientes,2020-04-23,105,2,6,0
Aguascalientes,2020-04-24,145,2,40,0
Aguascalientes,2020-04-25,146,2,1,0
Aguascalientes,2020-04-26,148,2,2,0
Aguascalientes,2020-04-27,161,2,13,0
Aguascalientes,2020-04-28,167,2,6,0
Aguascalientes,2020-04-29,187,2,20,0
Aguascalientes,2020-04-30,206,6,19,4
Aguascalientes,2020-05-01,226,7,20,1
Aguascalientes,2020-05-02,255,7,29,0
Aguascalientes,2020-05-03,267,7,12,0
Aguascalientes,2020-05-04,290,9,23,2
Aguascalientes,2020-05-05,293,10,3,1
Aguascalientes,2020-05-06,296,10,3,0
Aguascalientes,2020-05-07,296,11,0,1
Aguascalientes,2020-05-08,304,12,8,1
Aguascalientes,2020-05-09,307,14,3,2
Aguascalientes,2020-05-10,334,14,27,0
Aguascalientes,2020-05-11,357,14,23,0
Aguascalientes,2020-05-12,387,14,30,0
Aguascalientes,2020-05-13,404,15,17,1
Aguascalientes,2020-05-14,413,16,9,1
Aguascalientes,2020-05-15,448,18,35,2
Aguascalientes,2020-05-16,447,20,-1,2
Aguascalientes,2020-05-17,477,20,30,0
Baja California,2020-01-23,0,0,0,0
Baja California,2020-01-24,0,0,0,0
Baja California,2020-01-25,0,0,0,0
Baja California,2020-01-26,0,0,0,0
Baja California,2020-01-27,0,0,0,0
Baja California,2020-01-28,0,0,0,0
Baja California,2020-01-29,0,0,0,0
Baja California,2020-01-30,0,0,0,0
Baja California,2020-01-31,0,0,0,0
Baja California,2020-02-01,0,0,0,0
Baja California,2020-02-02,0,0,0,0
Baja California,2020-02-03,0,0,0,0
Baja California,2020-02-04,0,0,0,0
Baja California,2020-02-05,0,0,0,0
Baja California,2020-02-06,0,0,0,0
Baja California,2020-02-07,0,0,0,0
Baja California,2020-02-08,0,0,0,0
Baja California,2020-02-09,0,0,0,0
Baja California,2020-02-10,0,0,0,0
Baja California,2020-02-11,0,0,0,0
Baja California,2020-02-12,0,0,0,0
Baja California,2020-02-13,0,0,0,0
Baja California,2020-02-14,0,0,0,0
Baja California,2020-02-15,0,0,0,0
Baja California,2020-02-16,0,0,0,0
Baja California,2020-02-17,0,0,0,0
Baja California,2020-02-18,0,0,0,0
Baja California,2020-02-19,0,0,0,0
Baja California,2020-02-20,0,0,0,0
Baja California,2020-02-21,0,0,0,0
Baja California,2020-02-22,0,0,0,0
Baja California,2020-02-23,0,0,0,0
Baja California,2020-02-24,0,0,0,0
Baja California,2020-02-25,0,0,0,0
Baja California,2020-02-26,0,0,0,0
Baja California,2020-02-27,0,0,0,0
Baja California,2020-02-28,0,0,0,0
Baja California,2020-02-29,0,0,0,0
Baja California,2020-03-01,0,0,0,0
Baja California,2020-03-02,0,0,0,0
Baja California,2020-03-03,0,0,0,0
Baja California,2020-03-04,0,0,0,0
Baja California,2020-03-05,0,0,0,0
Baja California,2020-03-06,0,0,0,0
Baja California,2020-03-07,0,0,0,0
Baja California,2020-03-08,0,0,0,0
Baja California,2020-03-09,0,0,0,0
Baja California,2020-03-10,0,0,0,0
Baja California,2020-03-11,0,0,0,0
Baja California,2020-03-12,0,0,0,0
Baja California,2020-03-13,0,0,0,0
Baja California,2020-03-14,0,0,0,0
Baja California,2020-03-15,0,0,0,0
Baja California,2020-03-16,0,0,0,0
Baja California,2020-03-17,0,0,0,0
Baja California,2020-03-18,2,0,2,0
Baja California,2020-03-19,2,0,0,0
Baja California,2020-03-20,4,0,2,0
Baja California,2020-03-21,8,0,4,0
Baja California,2020-03-22,11,0,3,0
Baja California,2020-03-23,13,0,2,0
Baja California,2020-03-24,13,0,0,0
Baja California,2020-03-25,14,0,1,0
Baja California,2020-03-26,19,0,5,0
Baja California,2020-03-27,20,0,1,0
Baja California,2020-03-28,20,0,0,0
Baja California,2020-03-29,23,0,3,0
Baja California,2020-03-30,27,0,4,0
Baja California,2020-03-31,35,0,8,0
